"Category","testPuzzleTitle","testcaseID","testDescription","Test Status","Version and Date of Release to Servers","Version and Date of Release to Servers"
"SudokuSmartHint","PuzzleMe","XWingTest","X Wing sudoku: check if the x wing hint is given correctly.","PASSED","42cbef310c180ebbd8aebb27e493c0eabda68130
Staging - 16 Aug 2024
AL - 19 Aug 2024
GCP EU -  
GCP US - ","42cbef310c180ebbd8aebb27e493c0eabda68130"
"","PuzzleMe","DirectClaimingTest","Direct Claiming sudoku: check if the intersection hint is produced correctly","PASSED","Pass",""
"","PuzzleMe","SoleHintTest","Sole Hint sudoku: check if a sole hint is produced correctly","PASSED","Pass",""
"","PuzzleMe","HiddenPairTest","Hidden Pair sudoku: check if a hidden pair hint is produced correctly","PASSED","Fail - FP (Checked by Priyanshu)",""
"","PuzzleMe","SoleAfterEliminationHintTest","Sole after elimination sudoku: check if the hint given after an elimination is a sole hint vs. a unique hint","PASSED","Fail - Bug - Reported to Dev channel",""
"","PuzzleMe","MinimumUniqueConstraintsTest","Min Unique sudoku: check if the the minimum number of constraints for a unique hint are provided and no more.","PASSED","",""
"","PuzzleMe","YWingHintTest","Y Wing sudoku: check if the hint given correctly follows the Y Wing rules","PASSED","",""
"","PuzzleMe","LockedPairHintTest","Locked pair sudoku: check if the hint given is for a locked set and then an elimination.","PASSED","",""
"","PuzzleMe","MinimalChainHintTest","Minimal chain sudoku: check if the hint order is hidden pair -> x wing -> sole for an answer.","PASSED","",""
"","PuzzleMe","HiddenPairTest","Hidden compare sudoku: check if the hint given is for a two hidden set, and not a hidden triple.","PASSED","",""
"","PuzzleMe","LastDigitPriorityTest","Last digit sudoku: check if the hint is a sole hint for the fifth column","PASSED","",""
"","PuzzleMe","UniqueHintTest","ID unique sudoku: check if the hint is a unique hint.","PASSED","",""
"","PuzzleMe","IncorrectSudokuStateHintTest","Any sudoku: check if asking for a hint with an incorrect entry prompts the user about it.","PASSED","",""
"","PuzzleMe","NoHintSudokuTest","No hint hand-picked sudoku: check if randomly revealed box is correct.","PASSED","",""
"","PuzzleMe","LockedPairHintTest","Locked compare sudoku: check if the hint given is for a two locked pair, and not a locked triple.","PASSED","",""
"","PuzzleMe","4x4SmartHintTest","4by4 hand-picked sudoku: check if provided hint is valid.","PASSED","",""
"","PuzzleMe","2x5SmartHintTest","2by5 hand-picked sudoku: check if provided hint is valid.","PASSED","",""
"keyboard","Text Format in Clues","ArrowKeysTest","Verifying basic nav with up/down/left/right arrow keys","PASSED","",""
"","Text Format in Clues","DeleteKeyTest","Test Case Xd.Pl.KH.1.1: Verifies that the delete key is functioning as required","PASSED","",""
"","Text Format in Clues","CellNavigationTest","Xd.Pl.KH.3.16 Verifies navigation with arrow, enter, tab keys and wraparound - Verify navigation in almost full grid (fails with certain 'Always in rebus mode' puzzles) </li><br>","PASSED","",""
"","Text Format in Clues","UpperCaseTest","Test Case: Xd.Pl.KH.2.3:  Verifies that letters are being entered in uppercase","PASSED","",""
"","Text Format in Clues","ShiftArrowKeysTest","Verifying basic nav with shift + up/down/left/right arrow keys","PASSED","",""
"","Text Format in Clues","ShortcutTest","Verify keyboard shortcuts for reveal and check are working.","PASSED","",""
"","Text Format in Clues","OSKTest","Verify all osk  buttons are present.","PASSED","",""
"keyboard","Mini Madness","ArrowKeysTest","Verifying basic nav with up/down/left/right arrow keys","PASSED","",""
"","Mini Madness","DeleteKeyTest","Test Case Xd.Pl.KH.1.1: Verifies that the delete key is functioning as required","PASSED","",""
"","Mini Madness","CellNavigationTest","Xd.Pl.KH.3.16 Verifies navigation with arrow, enter, tab keys and wraparound - Verify navigation in almost full grid (fails with certain 'Always in rebus mode' puzzles) </li><br>","PASSED","",""
"","Mini Madness","UpperCaseTest","Test Case: Xd.Pl.KH.2.3:  Verifies that letters are being entered in uppercase","PASSED","",""
"","Mini Madness","ShiftArrowKeysTest","Verifying basic nav with shift + up/down/left/right arrow keys","PASSED","",""
"","Mini Madness","ShortcutTest","Verify keyboard shortcuts for reveal and check are working.","PASSED","",""
"","Mini Madness","OSKTest","Verify all osk  buttons are present.","PASSED","",""
"keyboard","పదవినోదం","OSKTest","Verify all osk buttons are present. - Check whether the osk appears on screen","PASSED","",""
"keyboard","0bc0ddb6","ArrowKeysTest","Verifying basic nav with up/down/left/right arrow keys","PASSED","",""
"","0bc0ddb6","DeleteKeyTest","Test Case Xd.Pl.KH.1.1: Verifies that the delete key is functioning as required","PASSED","",""
"","0bc0ddb6","CellNavigationTest","Xd.Pl.KH.3.16 Verifies navigation with arrow, enter, tab keys and wraparound - Verify navigation in almost full grid (fails with certain 'Always in rebus mode' puzzles) </li><br>","PASSED","",""
"","0bc0ddb6","UpperCaseTest","Test Case: Xd.Pl.KH.2.3:  Verifies that letters are being entered in uppercase","PASSED","",""
"","0bc0ddb6","ShiftArrowKeysTest","Verifying basic nav with shift + up/down/left/right arrow keys","PASSED","",""
"","0bc0ddb6","ShortcutTest","Verify keyboard shortcuts for reveal and check are working.","PASSED","",""
"","0bc0ddb6","OSKTest","Verify all osk  buttons are present.","PASSED","",""
"clues","Text Format in Clues","CluesAndNumbersTest","Test Case: Xd.Pl.PD.9.03: Verifies that clue numbers are proper","PASSED","",""
"","Text Format in Clues","ClueGreyAfterFillingTest","Test Case: Xd.Pl.PD.5.1: Verifies that clues are marked grey when error-check-mode if off","PASSED","",""
"","Text Format in Clues","ClueMultimediaTest","Test Case: Verifies that every multimedia clue css element contains the correct src url","PASSED","",""
"","Text Format in Clues","ClueListMobileTest","Test clue list in mobile browser.","PASSED","",""
"clues","Cartoon Crossword","CluesAndNumbersTest","Test Case: Xd.Pl.PD.9.03: Verifies that clue numbers are proper","PASSED","",""
"","Cartoon Crossword","ClueGreyAfterFillingTest","Test Case: Xd.Pl.PD.5.1: Verifies that clues are marked grey when error-check-mode if off","PASSED","",""
"","Cartoon Crossword","ClueMultimediaTest","Test Case: Verifies that every multimedia clue css element contains the correct src url","PASSED","",""
"","Cartoon Crossword","ClueListMobileTest","Test clue list in mobile browser.","PASSED","",""
"clues","పదవినోదం","CluesAndNumbersTest","Test Case: Xd.Pl.PD.9.03: Verifies that clue numbers are proper","PASSED","",""
"","పదవినోదం","ClueGreyAfterFillingTest","Test Case: Xd.Pl.PD.5.1: Verifies that clues are marked grey when error-check-mode if off","PASSED","",""
"","పదవినోదం","ClueMultimediaTest","Test Case: Verifies that every multimedia clue css element contains the correct src url","PASSED","",""
"","పదవినోదం","ClueListMobileTest","Test clue list in mobile browser.","PASSED","",""
"menu","Text Format in Clues","SaveTest","Click save from the hamburger menu and see if it works as expected","PASSED","",""
"","Text Format in Clues","RevealOptionsTest","Test Case Xd.Pl.RC.13.1: Verifies that the reveal entire grid is working","PASSED","",""
"","Text Format in Clues","ClearTest","Test Case Xd.Pl.PD.3.3: Checks that the clear option is working","PASSED","",""
"","Text Format in Clues","HelpTest","Test Case Xd.Pl.PD.6.3, Xd.Pl.PD.6.4 Check for presence or absence of rebus help option in the help modal depending on the kind of puzzle","PASSED","",""
"","Text Format in Clues","CheckInfoTest","Test Case: Xd.Pl.PD.8.1: Verifies that the info option, if present, is working properly","PASSED","",""
"","Text Format in Clues","ErrorCheckMode","Test Case: 4.2.1,4.2.1,4.2.3 : Checks if error check mode is working properly for incorrect answers.","PASSED","",""
"","Text Format in Clues","CheckOptionsTest","Test Case Xd.Pl.RC.3.1,Xd.Pl.RC.3.2: Verify if check current letter feature is working<br>Test Case Xd.Pl.RC.4.1, Xd.Pl.RC.4.2: Verifies that the check current word feature is workingTest Case Xd.Pl.RC.5.1, Xd.Pl.RC.5.2: Verifies that the check entire grid feature is workingTest Case 4.3.2: Verifies that turning off Error Check Mode does not alter letters colored by check current letter option","PASSED","",""
"","Text Format in Clues","Issue2596","Verifies reveal after error check mode works as expected.","PASSED","",""
"","Text Format in Clues","Issue4421","Test for Issue 4421: multiple event handlers attached to the confirm modal","PASSED","",""
"","Text Format in Clues","ShareTest","Test Case: Verify that the 'Share' option in menu works","PASSED","",""
"","Text Format in Clues","PencilModeTest","Pencil mode test","PASSED","",""
"menu","Knight Vision","SaveTest","Click save from the hamburger menu and see if it works as expected","PASSED","",""
"","Knight Vision","RevealOptionsTest","Test Case Xd.Pl.RC.13.1: Verifies that the reveal entire grid is working","PASSED","",""
"","Knight Vision","ClearTest","Test Case Xd.Pl.PD.3.3: Checks that the clear option is working","PASSED","",""
"","Knight Vision","HelpTest","Test Case Xd.Pl.PD.6.3, Xd.Pl.PD.6.4 Check for presence or absence of rebus help option in the help modal depending on the kind of puzzle","PASSED","",""
"","Knight Vision","CheckInfoTest","Test Case: Xd.Pl.PD.8.1: Verifies that the info option, if present, is working properly","PASSED","",""
"","Knight Vision","ErrorCheckMode","Test Case: 4.2.1,4.2.1,4.2.3 : Checks if error check mode is working properly for incorrect answers.","PASSED","",""
